x,y,delme,B
-1.250,98.030,0.000,-0.071
-0.450,98.030,0.000,-0.072
0.350,98.030,0.000,-0.078
1.150,98.030,0.000,-0.090
1.950,98.030,0.000,-0.081
2.750,98.030,0.000,-0.093
3.550,98.030,0.000,-0.100
4.350,98.030,0.000,-0.101
5.150,98.030,0.000,-0.095
5.950,98.030,0.000,-0.092
6.750,98.030,0.000,-0.086
7.550,98.030,0.000,-0.080
8.350,98.030,0.000,-0.076
9.150,98.030,0.000,-0.064
-1.250,99.030,0.000,-0.070
-0.450,99.030,0.000,-0.078
0.350,99.030,0.000,-0.095
1.150,99.030,0.000,-0.100
1.950,99.030,0.000,-0.110
2.750,99.030,0.000,-0.125
3.550,99.030,0.000,-0.130
4.350,99.030,0.000,-0.129
5.150,99.030,0.000,-0.131
5.950,99.030,0.000,-0.125
6.750,99.030,0.000,-0.104
7.550,99.030,0.000,-0.094
8.350,99.030,0.000,-0.092
9.150,99.030,0.000,-0.074
-1.250,100.030,0.000,-0.082
-0.450,100.030,0.000,-0.097
0.350,100.030,0.000,-0.114
1.150,100.030,0.000,-0.135
1.950,100.030,0.000,-0.160
2.750,100.030,0.000,-0.173
3.550,100.030,0.000,-0.196
4.350,100.030,0.000,-0.198
5.150,100.030,0.000,-0.196
5.950,100.030,0.000,-0.174
6.750,100.030,0.000,-0.148
7.550,100.030,0.000,-0.132
8.350,100.030,0.000,-0.100
9.150,100.030,0.000,-0.092
-1.250,101.030,0.000,-0.096
-0.450,101.030,0.000,-0.113
0.350,101.030,0.000,-0.140
1.150,101.030,0.000,-0.186
1.950,101.030,0.000,-0.243
2.750,101.030,0.000,-0.296
3.550,101.030,0.000,-0.341
4.350,101.030,0.000,-0.356
5.150,101.030,0.000,-0.331
5.950,101.030,0.000,-0.282
6.750,101.030,0.000,-0.216
7.550,101.030,0.000,-0.175
8.350,101.030,0.000,-0.136
9.150,101.030,0.000,-0.105
-1.250,102.030,0.000,-0.115
-0.450,102.030,0.000,-0.147
0.350,102.030,0.000,-0.190
1.150,102.030,0.000,-0.269
1.950,102.030,0.000,-0.346
2.750,102.030,0.000,-0.372
3.550,102.030,0.000,-0.473
4.350,102.030,0.000,-0.524
5.150,102.030,0.000,-0.477
5.950,102.030,0.000,-0.408
6.750,102.030,0.000,-0.330
7.550,102.030,0.000,-0.244
8.350,102.030,0.000,-0.172
9.150,102.030,0.000,-0.131
-1.250,103.030,0.000,-0.145
-0.450,103.030,0.000,-0.181
0.350,103.030,0.000,-0.248
1.150,103.030,0.000,-0.379
1.950,103.030,0.000,-0.363
2.750,103.030,0.000,0.635
3.550,103.030,0.000,1.402
4.350,103.030,0.000,1.355
5.150,103.030,0.000,0.935
5.950,103.030,0.000,-0.052
6.750,103.030,0.000,-0.458
7.550,103.030,0.000,-0.330
8.350,103.030,0.000,-0.231
9.150,103.030,0.000,-0.162
-1.250,104.030,0.000,-0.159
-0.450,104.030,0.000,-0.214
0.350,104.030,0.000,-0.319
1.150,104.030,0.000,-0.478
1.950,104.030,0.000,-0.511
2.750,104.030,0.000,0.938
3.550,104.030,0.000,3.400
4.350,104.030,0.000,3.918
5.150,104.030,0.000,1.954
5.950,104.030,0.000,-0.148
6.750,104.030,0.000,-0.620
7.550,104.030,0.000,-0.412
8.350,104.030,0.000,-0.271
9.150,104.030,0.000,-0.186
-1.250,105.030,0.000,-0.179
-0.450,105.030,0.000,-0.246
0.350,105.030,0.000,-0.364
1.150,105.030,0.000,-0.556
1.950,105.030,0.000,-0.626
2.750,105.030,0.000,0.803
3.550,105.030,0.000,3.494
4.350,105.030,0.000,4.080
5.150,105.030,0.000,1.679
5.950,105.030,0.000,-0.409
6.750,105.030,0.000,-0.742
7.550,105.030,0.000,-0.476
8.350,105.030,0.000,-0.313
9.150,105.030,0.000,-0.218
-1.250,106.030,0.000,-0.194
-0.450,106.030,0.000,-0.268
0.350,106.030,0.000,-0.403
1.150,106.030,0.000,-0.610
1.950,106.030,0.000,-0.734
2.750,106.030,0.000,0.481
3.550,106.030,0.000,3.054
4.350,106.030,0.000,3.864
5.150,106.030,0.000,1.727
5.950,106.030,0.000,-0.391
6.750,106.030,0.000,-0.799
7.550,106.030,0.000,-0.516
8.350,106.030,0.000,-0.331
9.150,106.030,0.000,-0.236
-1.250,107.030,0.000,-0.201
-0.450,107.030,0.000,-0.286
0.350,107.030,0.000,-0.426
1.150,107.030,0.000,-0.647
1.950,107.030,0.000,-0.764
2.750,107.030,0.000,0.599
3.550,107.030,0.000,3.169
4.350,107.030,0.000,3.705
5.150,107.030,0.000,1.536
5.950,107.030,0.000,-0.497
6.750,107.030,0.000,-0.846
7.550,107.030,0.000,-0.552
8.350,107.030,0.000,-0.355
9.150,107.030,0.000,-0.251
-1.250,108.030,0.000,-0.212
-0.450,108.030,0.000,-0.298
0.350,108.030,0.000,-0.438
1.150,108.030,0.000,-0.671
1.950,108.030,0.000,-0.784
2.750,108.030,0.000,0.614
3.550,108.030,0.000,3.171
4.350,108.030,0.000,3.498
5.150,108.030,0.000,1.201
5.950,108.030,0.000,-0.582
6.750,108.030,0.000,-0.863
7.550,108.030,0.000,-0.563
8.350,108.030,0.000,-0.364
9.150,108.030,0.000,-0.254
-1.250,109.030,0.000,-0.208
-0.450,109.030,0.000,-0.305
