I,U,delme
0.00000E+0,0.00000E+0,5.00000E-7
0.00000E+0,0.00000E+0,7.00000E-7
0.00000E+0,-1.23736E-7,3.00000E-7
0.00000E+0,-1.15683E-7,3.20000E-6
0.00000E+0,-1.35898E-8,4.00000E-6
0.00000E+0,-5.53640E-9,1.20000E-6
0.00000E+0,-1.10730E-8,4.50000E-6
0.00000E+0,1.00665E-8,5.50000E-6
2.85000E-1,3.52357E-9,2.42350E-3
5.70000E-1,1.35901E-8,5.84890E-3
8.55000E-1,-7.54974E-9,9.31940E-3
1.14000E+0,-5.03311E-9,1.27007E-2
1.42500E+0,-7.04660E-9,1.61157E-2
1.71000E+0,-2.56696E-8,1.89571E-2
1.99500E+0,-5.03323E-10,2.25319E-2
2.28000E+0,1.50987E-9,2.53834E-2
2.28000E+0,-1.56032E-8,2.56718E-2
2.28000E+0,9.05976E-9,2.53965E-2
2.28000E+0,1.40926E-8,2.52469E-2
2.28000E+0,-1.76169E-8,2.48375E-2
2.28000E+0,1.20793E-8,2.48523E-2
2.28000E+0,1.20789E-8,2.49026E-2
2.28000E+0,1.00656E-8,2.48642E-2
2.28000E+0,-7.76022E-13,2.46827E-2
2.28000E+0,3.01917E-9,2.41905E-2
2.28000E+0,4.52968E-9,2.45442E-2
2.28000E+0,-1.45967E-8,2.42206E-2
2.28000E+0,-2.01344E-9,2.41537E-2
2.28000E+0,2.01316E-9,2.39366E-2
2.28000E+0,-1.50981E-9,2.38410E-2
2.28000E+0,3.52346E-9,2.35975E-2
2.28000E+0,-1.15765E-8,2.36298E-2
2.28000E+0,-5.53672E-9,2.35444E-2
2.28000E+0,5.03194E-10,2.29510E-2
2.28000E+0,9.56322E-9,2.27540E-2
2.28000E+0,1.15765E-8,2.33351E-2
2.28000E+0,8.05290E-9,2.27133E-2
2.28000E+0,1.45961E-8,2.25564E-2
2.28000E+0,-6.04007E-9,2.23863E-2
2.28000E+0,-2.51679E-9,2.23922E-2
2.28000E+0,1.00647E-9,2.22928E-2
2.28000E+0,-8.05359E-9,2.23706E-2
2.28000E+0,8.55615E-9,2.18775E-2
2.28000E+0,-4.53007E-9,2.20512E-2
2.28000E+0,1.20797E-8,2.14270E-2
2.28000E+0,-2.01334E-9,2.13887E-2
2.28000E+0,-5.03359E-10,2.13984E-2
2.28000E+0,-1.51006E-9,2.12852E-2
2.28000E+0,-6.03999E-9,2.10113E-2
2.28000E+0,-1.15765E-8,2.05665E-2
2.28000E+0,3.01996E-9,2.08356E-2
2.28000E+0,-2.01330E-9,2.05513E-2
2.28000E+0,-1.66099E-8,2.05970E-2
2.28000E+0,-5.03346E-9,2.06737E-2
2.28000E+0,3.01995E-9,2.00216E-2
2.28000E+0,-1.50999E-9,2.02976E-2
2.28000E+0,9.56307E-9,2.00780E-2
2.28000E+0,-2.81864E-8,1.99049E-2
2.28000E+0,4.02659E-9,1.97508E-2
2.28000E+0,1.20798E-8,1.96599E-2
2.28000E+0,6.03982E-9,1.95785E-2
2.28000E+0,4.02651E-9,1.94783E-2
2.28000E+0,-9.56329E-9,1.94821E-2
2.28000E+0,5.03504E-10,1.95303E-2
2.28000E+0,-6.54306E-9,1.91130E-2
2.28000E+0,-2.06362E-8,1.90987E-2
2.28000E+0,-2.01317E-9,1.90294E-2
2.28000E+0,-3.02000E-9,1.89478E-2
2.28000E+0,5.53654E-9,1.88807E-2
2.28000E+0,1.00665E-8,1.86922E-2
2.28000E+0,-2.11398E-8,1.87729E-2
2.28000E+0,-1.45965E-8,1.82850E-2
2.28000E+0,-2.51656E-9,1.84097E-2
2.28000E+0,3.02003E-9,1.84498E-2
2.28000E+0,-4.52990E-9,1.81101E-2
2.28000E+0,-7.04653E-9,1.81356E-2
2.28000E+0,-1.51000E-8,1.81786E-2
2.28000E+0,5.53638E-9,1.80118E-2
2.28000E+0,8.55620E-9,1.75214E-2
2.28000E+0,9.56285E-9,1.78359E-2
2.28000E+0,1.50958E-9,1.77411E-2
2.28000E+0,3.52324E-9,1.76765E-2
2.28000E+0,-2.46630E-8,1.75392E-2
2.28000E+0,-1.25834E-8,1.70899E-2
2.28000E+0,4.52964E-9,1.71794E-2
2.28000E+0,1.71130E-8,1.72906E-2
2.28000E+0,2.51662E-8,1.67528E-2
2.28000E+0,8.05293E-9,1.65325E-2
2.28000E+0,-5.03354E-9,1.64838E-2
2.28000E+0,-8.05360E-9,1.60293E-2
2.28000E+0,-1.05698E-8,1.39456E-2
2.28000E+0,-2.01327E-9,9.51540E-3
2.28000E+0,-8.05332E-9,9.51950E-3
2.28000E+0,1.00655E-9,9.56380E-3
2.28000E+0,-2.01340E-9,9.35790E-3
2.28000E+0,-4.53003E-9,9.29620E-3
2.28000E+0,5.03300E-10,9.28890E-3
2.28000E+0,-1.51000E-9,9.24160E-3
2.28000E+0,-2.01339E-9,9.13570E-3
2.28000E+0,-8.55663E-9,9.13350E-3
2.28000E+0,-5.03348E-10,8.86760E-3
2.28000E+0,-1.20803E-8,8.78550E-3
2.28000E+0,2.01284E-9,9.03600E-3
2.56500E+0,-1.20803E-8,1.01650E-2
2.85000E+0,-1.76168E-8,1.12487E-2
3.13500E+0,-3.52370E-9,1.22001E-2
3.42000E+0,-1.00733E-9,1.33377E-2
3.70500E+0,7.04588E-9,1.42346E-2
3.99000E+0,-4.53015E-9,1.57192E-2
4.27500E+0,-5.03348E-9,1.68113E-2
4.56000E+0,5.03094E-10,1.73110E-2
4.84500E+0,-3.02019E-9,1.83160E-2
5.13000E+0,5.03302E-9,1.93793E-2
5.41500E+0,-2.01344E-9,2.06267E-2
5.70000E+0,-3.52342E-9,2.10985E-2
5.98500E+0,1.81196E-8,2.22664E-2
6.27000E+0,-1.15766E-8,2.32270E-2
6.55500E+0,-1.30864E-8,2.45734E-2
6.84000E+0,4.53001E-9,2.53968E-2
7.12500E+0,-9.56317E-9,2.63102E-2
7.12500E+0,4.52995E-9,2.59097E-2
7.12500E+0,1.10731E-8,2.59701E-2
7.12500E+0,-2.51664E-8,2.52430E-2
7.12500E+0,4.02669E-9,2.54000E-2
7.12500E+0,-4.52986E-9,2.51818E-2
7.12500E+0,-2.51674E-9,2.51677E-2
7.12500E+0,1.20797E-8,2.53375E-2
7.12500E+0,-2.51667E-9,2.48707E-2
7.12500E+0,-4.13171E-14,2.48333E-2
7.12500E+0,-4.02639E-9,2.53068E-2
7.12500E+0,4.02680E-9,2.46708E-2
7.12500E+0,5.03345E-9,2.38773E-2
7.12500E+0,6.04003E-9,2.37493E-2
7.12500E+0,-8.55643E-9,2.35767E-2
7.12500E+0,9.05980E-9,2.37211E-2
7.12500E+0,-1.86231E-8,2.32857E-2
7.12500E+0,1.10727E-8,2.33100E-2
7.12500E+0,-1.15769E-8,2.29058E-2
7.12500E+0,-6.54397E-9,2.35570E-2
7.12500E+0,-1.10736E-8,2.29884E-2
7.12500E+0,-1.66102E-8,2.24193E-2
7.12500E+0,-4.02705E-9,2.19832E-2
7.12500E+0,8.05276E-9,2.25073E-2
7.12500E+0,-1.51027E-9,2.18232E-2
7.12500E+0,7.54960E-9,2.21001E-2
7.12500E+0,-1.05700E-8,2.21300E-2
7.12500E+0,5.03311E-9,2.10614E-2
7.12500E+0,1.50975E-9,2.12071E-2
7.12500E+0,-3.52351E-9,2.15406E-2
7.12500E+0,1.00655E-9,2.03684E-2
7.12500E+0,-1.20798E-8,2.10950E-2
7.12500E+0,5.03324E-9,2.07819E-2
7.12500E+0,-1.10734E-8,2.07591E-2
7.12500E+0,1.00663E-8,1.94962E-2
7.12500E+0,1.20793E-8,1.95411E-2
7.12500E+0,9.56267E-9,1.96856E-2
7.12500E+0,-1.00714E-9,1.89924E-2
7.12500E+0,1.00617E-9,1.87398E-2
7.12500E+0,-2.01387E-9,1.87519E-2
7.12500E+0,-1.15769E-8,1.89153E-2
7.12500E+0,-2.01367E-9,1.80831E-2
7.12500E+0,-1.10734E-8,1.77598E-2
7.12500E+0,-1.45967E-8,1.74125E-2
7.12500E+0,3.01981E-9,1.68446E-2
7.12500E+0,-1.15766E-8,1.62640E-2
7.41000E+0,-6.54344E-9,1.60882E-2
7.69500E+0,-3.52351E-9,1.26279E-2
7.98000E+0,1.20796E-8,2.68740E-3
8.26500E+0,-1.00669E-8,5.59300E-4
8.55000E+0,2.01290E-9,5.77100E-4
8.83500E+0,9.56287E-9,5.97800E-4
9.12000E+0,1.45963E-8,6.18800E-4
9.40500E+0,1.10730E-8,6.39900E-4
9.69000E+0,-7.55031E-9,6.61800E-4
9.97500E+0,-1.00707E-9,6.83000E-4
1.02600E+1,3.01966E-9,7.05600E-4
1.05450E+1,6.54294E-9,7.27900E-4
